雾节点ID	数据项访问序列
1	"39 5 3 2 9 7 2 4 3 3 1 10 4 3 9 34 3 10 13 71

1 1 13 18 13 1 1 2 13 53 1 37 11 34 5 80 37 1 1 4

27 1 100 8 97 77 4 9 1 6 2 24 1 3 1 2 11 2 85 1

2 84 2 53 19 7 60 84 92 36 94 12 57 69 75 4 80 27 71 2

18 9 20 3 10 66 1 8 35 22 7 1 7 6 3  1 16 6 70 47"
2	"6 77 1 1 6 2 17 6 2 12 1 1 2 8 26 14 47 2 51 1

38 1 2 86 2 63 4 2 2 1 2 45 1 1 40 1 1 2 10 3

4 1 32 11 37 48 1 1 3 15 3 64 24 3 2 1 24 78 55 35

18 21 2 1 54 12 73 51 37 19 73 51 13 2 34 3 1 73 1 75

1 14 20 6 5 1 1 4 11 74 22 5 2 2 80 45 11 38 24 2"
3	"2 49 6 13 4 25 1 33 5 2 1 3 44 60 8 2 80 19 1 3

30 1 4 1 1 3 18 72 14 4 2 29 1 93 81 3 1 60 1 1

2 1 2 20 34 69 86 24 3 36 8 1 1 19 25 7 45 1 13 1

1 1 1 24 1 3 4 23 1 40 22 1 30 5 1 1 87 13 4 1

3 11 70 2 10 19 7 8 4 75 42 7 2 1 83 2 1 7 1 43"
4	"9 25 25 20 25 8 22 80 32 2 29 1 24 2 35 65 7 6 9 24

89 3 7 4 2 56 4 1 32 56 9 1 10 5 2 9 16 44 2 63

24 53 1 1 32 3 1 5 5 56 1 1 1 2 1 16 1 82 26 7

2 6 13 68 3 48 2 16 1 4 71 12 7 11 1 30 45 75 66 72

9 9 2 6 19 99 39 92 9 28 1 3 79 35 1 28 2 1 86 6"
5	"2 3 26 1 1 3 2 55 3 16 74 2 1 3 31 7 38 1 4 1

15 1 1 1 3 2 16 61 5 18 1 4 1 3 13 40 62 59 2 59

77 1 7 5 13 1 2 22 38 5 2 2 3 2 15 1 16 7 7 1

10 6 5 5 2 43 5 37 6 1 36 36 99 1 9 11 8 1 3 71

16 26 20 75 19 19 1 30 93 4 1 23 2 83 2 3 2 6 1 72"
6	"6 4 3 54 2 6 2 4 47 32 1 42 1 2 3 1 4 4 7 27

17 24 99 2 15 38 55 16 4 77 67 18 9 2 98 29 10 1 4 2

20 5 64 39 17 39 4 3 53 5 5 61 18 38 10 11 16 1 7 5

20 2 98 68 68 7 21 23 11 1 5 2 96 2 80 1 19 28 15 1

4 60 12 1 13 23 74 1 11 29 14 34 19 29 2 2 2 6 85 2"
7	"16 37 15 45 26 1 31 3 6 23 1 1 4 14 1 3 13 1 2 10

17 1 1 87 1 78 2 1 3 2 2 22 32 14 3 5 2 2 92 17

15 67 7 9 1 2 59 3 33 3 2 13 1 1 5 11 1 1 1 40

93 25 1 25 9 76 21 6 23 75 4 1 2 13 4 2 30 36 98 74

19 7 60 3 9 1 28 1 54 17 79 90 73 2 17 1 1 7 8 2"
8	"2 5 1 13 3 17 2 10 2 66 16 5 1 1 24 50 47 4 88 5

40 90 1 1 1 1 16 21 1 3 6 1 9 5 94 1 13 14 90 2

83 1 10 3 3 1 11 41 12 71 6 2 14 6 3 7 84 1 3 56

9 1 3 3 37 81 2 2 9 53 14 14 1 3 41 97 1 41 16 2

11 3 2 1 11 1 99 8 61 3 18 73 13 2 33 22 50 1 78 16"
9	"8 1 2 35 1 1 1 4 3 35 33 29 1 29 4 9 10 15 4 1

20 32 2 1 2 42 2 2 2 1 91 5 4 25 2 1 1 1 11 33

3 95 83 11 28 16 45 5 1 25 46 12 32 2 71 4 55 20 68 3

1 2 2 72 1 5 16 1 15 3 4 1 1 1 1 6 6 1 1 9

21 26 3 97 2 1 10 1 79 2 35 19 64 1 2 1 23 80 3"
10	"15 18 11 4 2 11 44 3 1 1 12 70 17 4 4 43 1 8 1 31

77 6 55 1 1 14 16 1 1 26 1 7 44 6 38 21 14 2 4

7 1 71 6 24 43 65 5 11 30 2 2 9 2 21 6 8 5 1 26

3 45 2 5 1 7 6 78 1 70 1 8 22 1 25 6 3 1 93 51

4 51 59 2 1 2 48 1 1 1 8 44 5 11 1 11 1 1 3 17"
	
	
	
	
	
	
	
	
	
	
	
